date,amount,description,category
04-02-2023,76.84,Online shopping,Shopping
04-02-2023,57.12,Coffee,Food
04-02-2023,196.42,Electronics,Shopping
04-02-2023,126.13,Online shopping,Shopping
04-02-2023,185.57,Fuel refill,Transport
04-02-2023,177.93,Electronics,Shopping
05-02-2023,191.57,Electricity bill,Utilities
05-02-2023,29.78,Electricity bill,Utilities
05-02-2023,102.18,Clothing purchase,Shopping
05-02-2023,40.92,Movie night,Entertainment
05-02-2023,62.14,Online shopping,Shopping
06-02-2023,220.69,Online shopping,Shopping
06-02-2023,227.38,Coffee,Food
06-02-2023,178.5,Clothing purchase,Shopping
06-02-2023,97.61,Netflix subscription,Entertainment
06-02-2023,227.06,Movie night,Entertainment
06-02-2023,7.78,Netflix subscription,Entertainment
07-02-2023,206.58,Fuel refill,Transport
07-02-2023,147.93,Coffee,Food
07-02-2023,122.04,Coffee,Food
07-02-2023,59.78,Grocery shopping,Food
07-02-2023,242.62,Fuel refill,Transport
07-02-2023,223.33,Electronics,Shopping
08-02-2023,230.18,Electronics,Shopping
08-02-2023,175.38,Water bill,Utilities
08-02-2023,45.72,Restaurant,Food
08-02-2023,77.15,Restaurant,Food
09-02-2023,148.16,Clothing purchase,Shopping
09-02-2023,73.84,Coffee,Food
09-02-2023,72.96,Electricity bill,Utilities
10-02-2023,100.13,Internet bill,Utilities
10-02-2023,70.15,Internet bill,Utilities
10-02-2023,68.69,Online shopping,Shopping
10-02-2023,12.92,Movie night,Entertainment
10-02-2023,105.75,Grocery shopping,Food
10-02-2023,37.63,Online shopping,Shopping
11-02-2023,237.7,Clothing purchase,Shopping
11-02-2023,230.2,Electronics,Shopping
11-02-2023,217.19,Uber ride,Transport
11-02-2023,11.46,Online shopping,Shopping
11-02-2023,203.59,Restaurant,Food
12-02-2023,150.56,Coffee,Food
12-02-2023,208.15,Restaurant,Food
12-02-2023,20.56,Grocery shopping,Food
12-02-2023,37.79,Coffee,Food
12-02-2023,216.86,Electronics,Shopping
12-02-2023,249.93,Grocery shopping,Food
13-02-2023,148.36,Netflix subscription,Entertainment
13-02-2023,190.48,Online shopping,Shopping
13-02-2023,64.07,Netflix subscription,Entertainment
13-02-2023,66.6,Restaurant,Food
14-02-2023,220.16,Clothing purchase,Shopping
14-02-2023,32.82,Bus ticket,Transport
14-02-2023,132.48,Uber ride,Transport
15-02-2023,80.41,Concert,Entertainment
15-02-2023,242.15,Restaurant,Food
15-02-2023,149.54,Netflix subscription,Entertainment
15-02-2023,161.64,Online shopping,Shopping
16-02-2023,38.41,Concert,Entertainment
16-02-2023,90.89,Internet bill,Utilities
16-02-2023,101.1,Uber ride,Transport
16-02-2023,226.52,Concert,Entertainment
16-02-2023,130.93,Electricity bill,Utilities
17-02-2023,157.41,Internet bill,Utilities
17-02-2023,237.63,Netflix subscription,Entertainment
17-02-2023,232.01,Internet bill,Utilities
17-02-2023,68.27,Fuel refill,Transport
17-02-2023,157.1,Clothing purchase,Shopping
17-02-2023,56.24,Fuel refill,Transport
18-02-2023,136.63,Concert,Entertainment
18-02-2023,175.93,Movie night,Entertainment
18-02-2023,224.71,Electricity bill,Utilities
18-02-2023,168.55,Concert,Entertainment
18-02-2023,52.11,Fuel refill,Transport
19-02-2023,89.55,Online shopping,Shopping
19-02-2023,12.79,Fuel refill,Transport
19-02-2023,117.89,Grocery shopping,Food
19-02-2023,94.25,Uber ride,Transport
19-02-2023,83.79,Fuel refill,Transport
20-02-2023,158.84,Coffee,Food
20-02-2023,97.44,Concert,Entertainment
20-02-2023,217.73,Restaurant,Food
20-02-2023,50.21,Coffee,Food
21-02-2023,135.16,Bus ticket,Transport
21-02-2023,20.27,Fuel refill,Transport
21-02-2023,179.77,Concert,Entertainment
21-02-2023,12.47,Concert,Entertainment
21-02-2023,91.77,Uber ride,Transport
22-02-2023,97.43,Coffee,Food
22-02-2023,83.91,Bus ticket,Transport
22-02-2023,34.34,Uber ride,Transport
22-02-2023,150.43,Grocery shopping,Food
22-02-2023,198.35,Internet bill,Utilities
23-02-2023,148.13,Bus ticket,Transport
23-02-2023,187.63,Bus ticket,Transport
23-02-2023,97.8,Coffee,Food
24-02-2023,153.85,Internet bill,Utilities
24-02-2023,246.7,Concert,Entertainment
24-02-2023,63.12,Online shopping,Shopping
25-02-2023,94.51,Clothing purchase,Shopping
25-02-2023,50.71,Internet bill,Utilities
25-02-2023,17.65,Coffee,Food
25-02-2023,224.67,Electronics,Shopping
26-02-2023,217.05,Water bill,Utilities
26-02-2023,46.87,Restaurant,Food
26-02-2023,232.7,Movie night,Entertainment
26-02-2023,73.59,Movie night,Entertainment
26-02-2023,50.83,Electricity bill,Utilities
26-02-2023,53.88,Water bill,Utilities
27-02-2023,178.27,Coffee,Food
27-02-2023,42.82,Clothing purchase,Shopping
27-02-2023,135.48,Electricity bill,Utilities
27-02-2023,87.47,Restaurant,Food
27-02-2023,20.53,Fuel refill,Transport
27-02-2023,83.98,Internet bill,Utilities
28-02-2023,39.01,Electricity bill,Utilities
28-02-2023,33.59,Grocery shopping,Food
28-02-2023,31.14,Movie night,Entertainment
28-02-2023,187.76,Clothing purchase,Shopping
01-03-2023,234.89,Electronics,Shopping
01-03-2023,21.29,Water bill,Utilities
01-03-2023,39.24,Electricity bill,Utilities
01-03-2023,54.4,Grocery shopping,Food
02-03-2023,50.67,Netflix subscription,Entertainment
02-03-2023,160.27,Concert,Entertainment
02-03-2023,219.91,Electricity bill,Utilities
02-03-2023,205.07,Restaurant,Food
03-03-2023,78.84,Netflix subscription,Entertainment
03-03-2023,92.06,Grocery shopping,Food
03-03-2023,21.32,Uber ride,Transport
03-03-2023,33.64,Concert,Entertainment
03-03-2023,183.98,Concert,Entertainment
04-03-2023,220.26,Water bill,Utilities
04-03-2023,224,Restaurant,Food
04-03-2023,42.16,Electricity bill,Utilities
04-03-2023,65.88,Grocery shopping,Food
05-03-2023,55.11,Restaurant,Food
05-03-2023,126.03,Uber ride,Transport
05-03-2023,30.21,Fuel refill,Transport
05-03-2023,97.81,Electronics,Shopping
05-03-2023,200.34,Electronics,Shopping
06-03-2023,105.19,Electronics,Shopping
06-03-2023,7.99,Clothing purchase,Shopping
06-03-2023,143.55,Concert,Entertainment
07-03-2023,89.7,Concert,Entertainment
07-03-2023,227.57,Movie night,Entertainment
07-03-2023,155.66,Uber ride,Transport
07-03-2023,39.08,Fuel refill,Transport
08-03-2023,9.44,Grocery shopping,Food
08-03-2023,233.37,Water bill,Utilities
08-03-2023,231.01,Electricity bill,Utilities
08-03-2023,146.19,Fuel refill,Transport
09-03-2023,23.94,Restaurant,Food
09-03-2023,228.12,Restaurant,Food
09-03-2023,62.8,Restaurant,Food
09-03-2023,50.65,Uber ride,Transport
10-03-2023,218.12,Grocery shopping,Food
10-03-2023,102.76,Concert,Entertainment
10-03-2023,87.12,Grocery shopping,Food
10-03-2023,6.13,Electricity bill,Utilities
10-03-2023,102.55,Coffee,Food
11-03-2023,231.13,Bus ticket,Transport
11-03-2023,185.69,Bus ticket,Transport
11-03-2023,13.05,Coffee,Food
12-03-2023,48.21,Movie night,Entertainment
12-03-2023,13.3,Internet bill,Utilities
12-03-2023,196.22,Grocery shopping,Food
12-03-2023,58.92,Movie night,Entertainment
12-03-2023,131.22,Fuel refill,Transport
13-03-2023,41.42,Electricity bill,Utilities
13-03-2023,249.23,Water bill,Utilities
13-03-2023,150.87,Coffee,Food
14-03-2023,200.95,Concert,Entertainment
14-03-2023,13.95,Online shopping,Shopping
14-03-2023,77.04,Movie night,Entertainment
15-03-2023,135.94,Uber ride,Transport
15-03-2023,126.77,Restaurant,Food
15-03-2023,30.23,Concert,Entertainment
15-03-2023,236.8,Electronics,Shopping
15-03-2023,224.87,Uber ride,Transport
16-03-2023,11.22,Electricity bill,Utilities
16-03-2023,217.41,Internet bill,Utilities
16-03-2023,59.38,Grocery shopping,Food
16-03-2023,9.83,Concert,Entertainment
17-03-2023,144.51,Coffee,Food
17-03-2023,141.4,Netflix subscription,Entertainment
17-03-2023,64.58,Bus ticket,Transport
17-03-2023,39.57,Netflix subscription,Entertainment
18-03-2023,160.14,Bus ticket,Transport
18-03-2023,212.79,Coffee,Food
18-03-2023,147.85,Electronics,Shopping
18-03-2023,223.7,Internet bill,Utilities
19-03-2023,68.56,Electronics,Shopping
19-03-2023,149.62,Bus ticket,Transport
19-03-2023,89.57,Electricity bill,Utilities
19-03-2023,215.96,Restaurant,Food
19-03-2023,192.08,Movie night,Entertainment
20-03-2023,143.62,Restaurant,Food
20-03-2023,120.41,Movie night,Entertainment
20-03-2023,10.5,Restaurant,Food
20-03-2023,160.2,Restaurant,Food
20-03-2023,163.04,Restaurant,Food
20-03-2023,133.79,Internet bill,Utilities
21-03-2023,172.38,Bus ticket,Transport
21-03-2023,204.69,Fuel refill,Transport
21-03-2023,21.46,Restaurant,Food
22-03-2023,208.29,Restaurant,Food
22-03-2023,39.3,Clothing purchase,Shopping
22-03-2023,70.29,Netflix subscription,Entertainment
23-03-2023,167.93,Fuel refill,Transport
23-03-2023,210.34,Fuel refill,Transport
23-03-2023,132.13,Clothing purchase,Shopping
23-03-2023,185.82,Uber ride,Transport
23-03-2023,152.77,Netflix subscription,Entertainment
24-03-2023,210.08,Online shopping,Shopping
24-03-2023,181.78,Netflix subscription,Entertainment
24-03-2023,121.63,Movie night,Entertainment
24-03-2023,71.13,Online shopping,Shopping
25-03-2023,150.79,Water bill,Utilities
25-03-2023,126.61,Netflix subscription,Entertainment
25-03-2023,86.89,Electronics,Shopping
25-03-2023,31.12,Uber ride,Transport
25-03-2023,106.13,Grocery shopping,Food
26-03-2023,117.62,Movie night,Entertainment
26-03-2023,24.05,Concert,Entertainment
26-03-2023,71.68,Water bill,Utilities
27-03-2023,82.08,Water bill,Utilities
27-03-2023,240.71,Concert,Entertainment
27-03-2023,174.19,Restaurant,Food
27-03-2023,26.24,Coffee,Food
28-03-2023,202.61,Concert,Entertainment
28-03-2023,161.12,Clothing purchase,Shopping
28-03-2023,124.91,Restaurant,Food
28-03-2023,17.64,Movie night,Entertainment
28-03-2023,15.82,Bus ticket,Transport
28-03-2023,141.17,Coffee,Food
29-03-2023,13.32,Bus ticket,Transport
29-03-2023,77.85,Electronics,Shopping
29-03-2023,236.35,Bus ticket,Transport
29-03-2023,216.2,Bus ticket,Transport
30-03-2023,133,Movie night,Entertainment
30-03-2023,151.09,Restaurant,Food
30-03-2023,23.85,Netflix subscription,Entertainment
30-03-2023,88.27,Electronics,Shopping
30-03-2023,82.25,Water bill,Utilities
31-03-2023,167.11,Electricity bill,Utilities
31-03-2023,132.44,Clothing purchase,Shopping
31-03-2023,219.78,Clothing purchase,Shopping
01-04-2023,247.63,Movie night,Entertainment
01-04-2023,50.44,Concert,Entertainment
01-04-2023,22.16,Bus ticket,Transport
01-04-2023,192.96,Electricity bill,Utilities
02-04-2023,147.29,Online shopping,Shopping
02-04-2023,102.58,Water bill,Utilities
02-04-2023,108.23,Coffee,Food
03-04-2023,5.82,Restaurant,Food
03-04-2023,77.77,Clothing purchase,Shopping
03-04-2023,62.23,Uber ride,Transport
04-04-2023,246.99,Grocery shopping,Food
04-04-2023,99.16,Coffee,Food
04-04-2023,237.74,Water bill,Utilities
05-04-2023,149.2,Electronics,Shopping
05-04-2023,155.29,Movie night,Entertainment
05-04-2023,247.84,Coffee,Food
06-04-2023,164.16,Electricity bill,Utilities
06-04-2023,130.61,Electronics,Shopping
06-04-2023,48.25,Bus ticket,Transport
06-04-2023,50.68,Fuel refill,Transport
06-04-2023,201.19,Movie night,Entertainment
07-04-2023,232.3,Grocery shopping,Food
07-04-2023,47.6,Fuel refill,Transport
07-04-2023,190.77,Bus ticket,Transport
07-04-2023,204.88,Coffee,Food
08-04-2023,136.56,Online shopping,Shopping
08-04-2023,215.73,Restaurant,Food
08-04-2023,100.84,Netflix subscription,Entertainment
08-04-2023,222.74,Netflix subscription,Entertainment
09-04-2023,203.33,Uber ride,Transport
09-04-2023,185.13,Grocery shopping,Food
09-04-2023,6.25,Bus ticket,Transport
10-04-2023,135.49,Clothing purchase,Shopping
10-04-2023,224.15,Online shopping,Shopping
10-04-2023,20.07,Online shopping,Shopping
10-04-2023,150.14,Clothing purchase,Shopping
10-04-2023,90.21,Bus ticket,Transport
11-04-2023,70.42,Netflix subscription,Entertainment
11-04-2023,43.55,Netflix subscription,Entertainment
11-04-2023,210.07,Grocery shopping,Food
11-04-2023,171.63,Grocery shopping,Food
12-04-2023,51.36,Movie night,Entertainment
12-04-2023,240.52,Electronics,Shopping
12-04-2023,220.37,Coffee,Food
12-04-2023,205.89,Uber ride,Transport
12-04-2023,227.63,Clothing purchase,Shopping
13-04-2023,208.87,Internet bill,Utilities
13-04-2023,52.32,Electronics,Shopping
13-04-2023,84.98,Clothing purchase,Shopping
13-04-2023,33.38,Grocery shopping,Food
14-04-2023,196.06,Electricity bill,Utilities
14-04-2023,9.51,Movie night,Entertainment
14-04-2023,88.76,Restaurant,Food
14-04-2023,233.35,Water bill,Utilities
15-04-2023,237.09,Internet bill,Utilities
15-04-2023,178.6,Restaurant,Food
15-04-2023,157.12,Restaurant,Food
16-04-2023,247.59,Uber ride,Transport
16-04-2023,36.87,Electronics,Shopping
16-04-2023,21.08,Electronics,Shopping
16-04-2023,96.1,Restaurant,Food
16-04-2023,172.41,Concert,Entertainment
17-04-2023,119.79,Uber ride,Transport
17-04-2023,30.04,Electricity bill,Utilities
17-04-2023,134.12,Coffee,Food
17-04-2023,78.1,Online shopping,Shopping
18-04-2023,171.72,Bus ticket,Transport
18-04-2023,217.67,Concert,Entertainment
18-04-2023,236.19,Electricity bill,Utilities
18-04-2023,241.31,Electronics,Shopping
18-04-2023,113.36,Netflix subscription,Entertainment
18-04-2023,83.58,Netflix subscription,Entertainment
19-04-2023,54.09,Fuel refill,Transport
19-04-2023,180.16,Grocery shopping,Food
19-04-2023,120.53,Bus ticket,Transport
19-04-2023,54.91,Movie night,Entertainment
20-04-2023,116.15,Electronics,Shopping
20-04-2023,158.42,Bus ticket,Transport
20-04-2023,228.4,Electricity bill,Utilities
21-04-2023,118.21,Movie night,Entertainment
21-04-2023,172.96,Restaurant,Food
21-04-2023,54.13,Electricity bill,Utilities
21-04-2023,164.62,Coffee,Food
22-04-2023,200.4,Clothing purchase,Shopping
22-04-2023,41.65,Netflix subscription,Entertainment
22-04-2023,171.71,Clothing purchase,Shopping
23-04-2023,190.48,Netflix subscription,Entertainment
23-04-2023,227.42,Internet bill,Utilities
23-04-2023,188.54,Movie night,Entertainment
23-04-2023,30.18,Grocery shopping,Food
24-04-2023,142.11,Electricity bill,Utilities
24-04-2023,131.84,Fuel refill,Transport
24-04-2023,90.9,Grocery shopping,Food
24-04-2023,24.25,Grocery shopping,Food
25-04-2023,144.05,Uber ride,Transport
25-04-2023,206.25,Uber ride,Transport
25-04-2023,169.24,Bus ticket,Transport
25-04-2023,178.09,Netflix subscription,Entertainment
26-04-2023,156.07,Restaurant,Food
26-04-2023,234.12,Restaurant,Food
26-04-2023,196.94,Uber ride,Transport
26-04-2023,24.63,Concert,Entertainment
27-04-2023,205.24,Internet bill,Utilities
27-04-2023,162.68,Bus ticket,Transport
27-04-2023,112.46,Restaurant,Food
27-04-2023,150.35,Uber ride,Transport
27-04-2023,122.42,Electricity bill,Utilities
27-04-2023,85.61,Movie night,Entertainment
28-04-2023,49.62,Electricity bill,Utilities
28-04-2023,15.7,Electronics,Shopping
28-04-2023,10.11,Internet bill,Utilities
28-04-2023,86.42,Movie night,Entertainment
29-04-2023,164.33,Coffee,Food
29-04-2023,171.66,Bus ticket,Transport
29-04-2023,12.51,Clothing purchase,Shopping
29-04-2023,118.34,Coffee,Food
29-04-2023,106.9,Electronics,Shopping
29-04-2023,89.75,Electricity bill,Utilities
30-04-2023,217.42,Internet bill,Utilities
30-04-2023,182.69,Restaurant,Food
30-04-2023,151.44,Internet bill,Utilities
30-04-2023,165.48,Internet bill,Utilities
30-04-2023,74.54,Concert,Entertainment
30-04-2023,157.63,Electronics,Shopping
01-05-2023,62.77,Electronics,Shopping
01-05-2023,49.02,Uber ride,Transport
01-05-2023,242.99,Internet bill,Utilities
01-05-2023,21.94,Online shopping,Shopping
01-05-2023,28.86,Restaurant,Food
01-05-2023,150.27,Electronics,Shopping
02-05-2023,28.34,Restaurant,Food
02-05-2023,81.48,Coffee,Food
02-05-2023,215.21,Internet bill,Utilities
02-05-2023,149.16,Electronics,Shopping
02-05-2023,63.07,Electricity bill,Utilities
03-05-2023,23.01,Movie night,Entertainment
03-05-2023,87.57,Fuel refill,Transport
03-05-2023,115.11,Grocery shopping,Food
03-05-2023,66.87,Netflix subscription,Entertainment
03-05-2023,153.36,Electricity bill,Utilities
04-05-2023,196.54,Online shopping,Shopping
04-05-2023,217.73,Water bill,Utilities
04-05-2023,32.42,Water bill,Utilities
04-05-2023,18.99,Uber ride,Transport
04-05-2023,14.64,Clothing purchase,Shopping
05-05-2023,49.1,Movie night,Entertainment
05-05-2023,30.31,Netflix subscription,Entertainment
05-05-2023,173.61,Movie night,Entertainment
05-05-2023,122.57,Electricity bill,Utilities
05-05-2023,9.26,Concert,Entertainment
06-05-2023,217.64,Fuel refill,Transport
06-05-2023,88.95,Movie night,Entertainment
06-05-2023,12.34,Water bill,Utilities
07-05-2023,54.45,Internet bill,Utilities
07-05-2023,28.01,Fuel refill,Transport
07-05-2023,217.69,Clothing purchase,Shopping
08-05-2023,210.34,Fuel refill,Transport
08-05-2023,172.4,Bus ticket,Transport
08-05-2023,156.37,Uber ride,Transport
08-05-2023,233.08,Coffee,Food
09-05-2023,152.15,Electricity bill,Utilities
09-05-2023,146.41,Online shopping,Shopping
09-05-2023,249.86,Internet bill,Utilities
09-05-2023,104.69,Grocery shopping,Food
10-05-2023,27.17,Online shopping,Shopping
10-05-2023,220.24,Coffee,Food
10-05-2023,85.12,Clothing purchase,Shopping
10-05-2023,225.84,Movie night,Entertainment
10-05-2023,82.71,Online shopping,Shopping
10-05-2023,97.04,Electronics,Shopping
11-05-2023,84.52,Grocery shopping,Food
11-05-2023,102.06,Internet bill,Utilities
11-05-2023,100.2,Electronics,Shopping
11-05-2023,63.2,Grocery shopping,Food
12-05-2023,22.93,Movie night,Entertainment
12-05-2023,162.43,Movie night,Entertainment
12-05-2023,127.61,Uber ride,Transport
13-05-2023,122.4,Uber ride,Transport
13-05-2023,88.61,Online shopping,Shopping
13-05-2023,102.71,Electricity bill,Utilities
14-05-2023,101.62,Water bill,Utilities
14-05-2023,132.7,Bus ticket,Transport
14-05-2023,110.56,Electronics,Shopping
15-05-2023,64.65,Electronics,Shopping
15-05-2023,19.77,Concert,Entertainment
15-05-2023,91.15,Online shopping,Shopping
15-05-2023,124.04,Uber ride,Transport
15-05-2023,80.29,Clothing purchase,Shopping
15-05-2023,147.33,Water bill,Utilities
16-05-2023,180.46,Internet bill,Utilities
16-05-2023,106.32,Grocery shopping,Food
16-05-2023,49.38,Restaurant,Food
16-05-2023,200.95,Internet bill,Utilities
17-05-2023,50.38,Restaurant,Food
17-05-2023,202.47,Internet bill,Utilities
17-05-2023,160.12,Grocery shopping,Food
17-05-2023,152.39,Netflix subscription,Entertainment
17-05-2023,150.42,Clothing purchase,Shopping
18-05-2023,154.69,Coffee,Food
18-05-2023,210.77,Fuel refill,Transport
18-05-2023,67.63,Restaurant,Food
18-05-2023,184.33,Internet bill,Utilities
19-05-2023,168.55,Water bill,Utilities
19-05-2023,157.85,Bus ticket,Transport
19-05-2023,148.72,Coffee,Food
19-05-2023,217.97,Coffee,Food
19-05-2023,136.16,Coffee,Food
19-05-2023,61.41,Electronics,Shopping
20-05-2023,67.94,Movie night,Entertainment
20-05-2023,19.32,Online shopping,Shopping
20-05-2023,72.26,Restaurant,Food
20-05-2023,104.06,Clothing purchase,Shopping
20-05-2023,182.51,Electronics,Shopping
21-05-2023,30.51,Internet bill,Utilities
21-05-2023,146.7,Uber ride,Transport
21-05-2023,69.9,Clothing purchase,Shopping
21-05-2023,150.96,Online shopping,Shopping
21-05-2023,60.53,Grocery shopping,Food
22-05-2023,132.17,Electricity bill,Utilities
22-05-2023,22.13,Fuel refill,Transport
22-05-2023,150.24,Clothing purchase,Shopping
23-05-2023,116.93,Electricity bill,Utilities
23-05-2023,97.73,Bus ticket,Transport
23-05-2023,184.01,Coffee,Food
23-05-2023,142.76,Internet bill,Utilities
23-05-2023,47.95,Electricity bill,Utilities
24-05-2023,136.28,Coffee,Food
24-05-2023,190.26,Coffee,Food
24-05-2023,232.16,Coffee,Food
24-05-2023,102.83,Electronics,Shopping
24-05-2023,211.3,Online shopping,Shopping
25-05-2023,67.98,Internet bill,Utilities
25-05-2023,207.39,Grocery shopping,Food
25-05-2023,20.46,Internet bill,Utilities
26-05-2023,69.46,Coffee,Food
26-05-2023,26.47,Fuel refill,Transport
26-05-2023,140.68,Netflix subscription,Entertainment
26-05-2023,102.26,Concert,Entertainment
26-05-2023,131.34,Uber ride,Transport
26-05-2023,126.76,Movie night,Entertainment
27-05-2023,100.81,Electricity bill,Utilities
