date,amount,description,category
2024-01-27,2521,Electricity Bill,Utilities
2024-05-16,3826,Flipkart Order,Shopping
2024-01-15,146,Amazon Purchase,Shopping
2024-03-30,500,Restaurant Bill,Food
2024-02-11,3257,Swiggy Order,Food
2024-05-03,3953,Misc Expense,Uncategorized
2024-06-27,4332,Restaurant Bill,Food
2024-03-03,926,Zomato,Food
2024-04-05,3394,Misc Expense,Uncategorized
2024-02-21,3142,Electricity Bill,Utilities
2024-04-05,18561,House Rent,Rent
2024-05-11,1282,Flipkart Order,Shopping
2024-05-30,17667,House Rent,Rent
2024-05-22,230,Zomato,Food
2024-06-19,4378,Flipkart Order,Shopping
2024-01-29,4059,Fuel,Transport
2024-02-05,1020,Uber Ride,Transport
2024-01-13,4211,Netflix Subscription,Entertainment
2024-06-08,3621,Metro Card,Transport
2024-03-11,645,Zomato,Food
2024-03-26,1904,Restaurant Bill,Food
2024-01-28,913,Fuel,Transport
2024-03-06,17032,House Rent,Rent
2024-06-18,4943,Uber Ride,Transport
2024-02-14,1871,Flipkart Order,Shopping
2024-03-02,4461,Misc Expense,Uncategorized
2024-05-13,3530,Restaurant Bill,Food
2024-01-28,3860,Uber Ride,Transport
2024-01-28,475,Zomato,Food
2024-04-17,15145,House Rent,Rent
2024-02-13,531,Swiggy Order,Food
2024-03-24,2732,Zomato,Food
2024-01-30,1063,Swiggy Order,Food
2024-03-15,1928,Zomato,Food
2024-05-07,4905,Netflix Subscription,Entertainment
2024-04-01,3515,Misc Expense,Uncategorized
2024-05-08,4967,Uber Ride,Transport
2024-04-30,984,Swiggy Order,Food
2024-01-27,3501,Water Bill,Utilities
2024-04-30,2365,Swiggy Order,Food
2024-04-25,3945,Zomato,Food
2024-01-03,826,Water Bill,Utilities
2024-04-12,2013,Electricity Bill,Utilities
2024-06-03,2566,Fuel,Transport
2024-05-16,102,Movie Ticket,Entertainment
2024-03-02,4976,Water Bill,Utilities
2024-06-13,3260,Restaurant Bill,Food
2024-02-20,1480,Flipkart Order,Shopping
2024-06-20,2782,Swiggy Order,Food
2024-05-31,1318,Swiggy Order,Food
2024-02-28,1455,Misc Expense,Uncategorized
2024-04-27,4235,Restaurant Bill,Food
2024-06-08,1518,Misc Expense,Uncategorized
2024-04-05,4233,Restaurant Bill,Food
2024-06-28,18972,House Rent,Rent
2024-04-22,4649,Zomato,Food
2024-03-02,1811,Misc Expense,Uncategorized
2024-02-21,4788,Amazon Purchase,Shopping
2024-01-12,417,Swiggy Order,Food
2024-02-08,1691,Flipkart Order,Shopping
2024-05-09,4030,Flipkart Order,Shopping
2024-05-10,1385,Electricity Bill,Utilities
2024-04-22,1804,Uber Ride,Transport
2024-04-10,17604,House Rent,Rent
2024-04-22,4551,Flipkart Order,Shopping
2024-03-21,4895,Flipkart Order,Shopping
2024-04-22,656,Restaurant Bill,Food
2024-01-02,4621,Electricity Bill,Utilities
2024-05-09,3608,Restaurant Bill,Food
2024-02-23,2229,Netflix Subscription,Entertainment
2024-03-27,688,Water Bill,Utilities
2024-05-08,2085,Fuel,Transport
2024-05-26,18117,House Rent,Rent
2024-05-05,17064,House Rent,Rent
2024-05-09,4895,Zomato,Food
2024-02-22,4870,Swiggy Order,Food
2024-06-20,3626,Restaurant Bill,Food
2024-06-08,4002,Metro Card,Transport
2024-06-08,17382,House Rent,Rent
2024-03-08,377,Misc Expense,Uncategorized
2024-05-02,1987,Misc Expense,Uncategorized
2024-05-24,4926,Movie Ticket,Entertainment
2024-02-07,985,Zomato,Food
2024-01-24,19569,House Rent,Rent
2024-03-09,2453,Zomato,Food
2024-04-25,786,Misc Expense,Uncategorized
2024-04-07,3847,Misc Expense,Uncategorized
2024-05-18,2528,Flipkart Order,Shopping
2024-05-23,15028,House Rent,Rent
2024-04-06,4099,Zomato,Food
2024-05-03,3709,Movie Ticket,Entertainment
2024-03-10,3456,Zomato,Food
2024-04-02,138,Misc Expense,Uncategorized
2024-01-03,2304,Uber Ride,Transport
2024-05-27,16823,House Rent,Rent
2024-06-12,3255,Zomato,Food
2024-05-26,3878,Amazon Purchase,Shopping
2024-03-30,3611,Misc Expense,Uncategorized
2024-05-26,4126,Uber Ride,Transport
2024-05-27,1782,Misc Expense,Uncategorized
2024-04-05,19665,House Rent,Rent
2024-02-21,3333,Electricity Bill,Utilities
2024-06-09,892,Swiggy Order,Food
2024-06-16,2355,Movie Ticket,Entertainment
2024-05-07,1084,Metro Card,Transport
2024-02-08,619,Electricity Bill,Utilities
2024-03-22,3733,Movie Ticket,Entertainment
2024-04-13,4544,Netflix Subscription,Entertainment
2024-05-08,3999,Swiggy Order,Food
2024-01-11,626,Misc Expense,Uncategorized
2024-06-26,3444,Metro Card,Transport
2024-05-30,1863,Flipkart Order,Shopping
2024-06-07,1116,Flipkart Order,Shopping
2024-02-11,216,Zomato,Food
2024-04-08,494,Flipkart Order,Shopping
2024-01-07,2868,Misc Expense,Uncategorized
2024-05-23,2113,Zomato,Food
2024-03-30,16389,House Rent,Rent
2024-04-21,265,Misc Expense,Uncategorized
2024-02-29,15728,House Rent,Rent
2024-04-22,3596,Water Bill,Utilities
2024-01-02,3862,Zomato,Food
2024-05-08,3036,Swiggy Order,Food
2024-02-17,691,Amazon Purchase,Shopping
2024-05-19,813,Uber Ride,Transport
2024-02-06,101,Movie Ticket,Entertainment
2024-06-08,4144,Uber Ride,Transport
2024-01-09,1017,Swiggy Order,Food
2024-04-08,15089,House Rent,Rent
2024-05-26,4338,Flipkart Order,Shopping
2024-02-17,527,Restaurant Bill,Food
2024-05-10,416,Restaurant Bill,Food
2024-05-27,2156,Movie Ticket,Entertainment
2024-05-31,2370,Misc Expense,Uncategorized
2024-02-23,815,Metro Card,Transport
2024-04-29,3489,Water Bill,Utilities
2024-06-09,350,Netflix Subscription,Entertainment
2024-05-31,307,Fuel,Transport
2024-04-25,121,Metro Card,Transport
2024-03-15,4209,Fuel,Transport
2024-04-22,2234,Zomato,Food
2024-06-12,1366,Amazon Purchase,Shopping
2024-06-14,849,Restaurant Bill,Food
2024-04-13,16927,House Rent,Rent
2024-03-24,4890,Electricity Bill,Utilities
2024-04-21,2089,Zomato,Food
2024-04-08,4744,Movie Ticket,Entertainment
2024-06-01,3020,Misc Expense,Uncategorized
2024-04-02,854,Metro Card,Transport
2024-05-25,452,Amazon Purchase,Shopping
2024-05-07,258,Electricity Bill,Utilities
2024-04-19,4711,Uber Ride,Transport
2024-03-22,1055,Movie Ticket,Entertainment
2024-02-23,4803,Swiggy Order,Food
2024-06-11,3911,Flipkart Order,Shopping
2024-06-17,3079,Water Bill,Utilities
2024-06-09,4950,Metro Card,Transport
2024-03-08,4832,Flipkart Order,Shopping
2024-02-02,629,Swiggy Order,Food
2024-05-21,3014,Amazon Purchase,Shopping
2024-01-21,4673,Movie Ticket,Entertainment
2024-02-17,101,Zomato,Food
2024-05-27,4105,Swiggy Order,Food
2024-05-07,1625,Metro Card,Transport
2024-05-15,113,Electricity Bill,Utilities
2024-05-14,3255,Uber Ride,Transport
2024-05-24,3316,Flipkart Order,Shopping
2024-05-07,17040,House Rent,Rent
2024-02-02,16252,House Rent,Rent
2024-06-24,4655,Swiggy Order,Food
2024-04-24,3474,Swiggy Order,Food
2024-04-28,3878,Zomato,Food
2024-01-22,2991,Metro Card,Transport
2024-06-06,2460,Electricity Bill,Utilities
2024-02-07,3278,Swiggy Order,Food
2024-04-18,2312,Netflix Subscription,Entertainment
2024-02-20,1679,Movie Ticket,Entertainment
2024-01-08,1842,Fuel,Transport
2024-01-27,1056,Amazon Purchase,Shopping
2024-01-27,1068,Zomato,Food
2024-01-21,2944,Metro Card,Transport
2024-01-30,4393,Amazon Purchase,Shopping
2024-04-06,1108,Restaurant Bill,Food
2024-01-28,4685,Flipkart Order,Shopping
2024-04-20,17289,House Rent,Rent
2024-03-01,225,Misc Expense,Uncategorized
2024-02-17,3968,Misc Expense,Uncategorized
2024-05-26,3349,Electricity Bill,Utilities
2024-01-04,18923,House Rent,Rent
2024-02-04,4503,Zomato,Food
2024-02-18,991,Movie Ticket,Entertainment
2024-01-17,1464,Flipkart Order,Shopping
2024-06-20,4712,Swiggy Order,Food
2024-06-06,1298,Misc Expense,Uncategorized
2024-02-15,2574,Amazon Purchase,Shopping
2024-04-26,4149,Flipkart Order,Shopping
2024-01-06,402,Flipkart Order,Shopping
2024-04-08,1086,Flipkart Order,Shopping
2024-05-03,3172,Misc Expense,Uncategorized
2024-02-06,3224,Zomato,Food
2024-01-24,3773,Amazon Purchase,Shopping
2024-04-02,19033,House Rent,Rent
2024-02-15,674,Misc Expense,Uncategorized
2024-04-04,4883,Misc Expense,Uncategorized
2024-04-08,3330,Netflix Subscription,Entertainment
2024-04-25,3781,Movie Ticket,Entertainment
2024-06-08,1767,Metro Card,Transport
2024-06-09,3653,Flipkart Order,Shopping
2024-03-07,950,Netflix Subscription,Entertainment
2024-05-07,1467,Electricity Bill,Utilities
2024-01-18,15454,House Rent,Rent
2024-01-25,3247,Restaurant Bill,Food
2024-02-23,1016,Amazon Purchase,Shopping
2024-02-27,16440,House Rent,Rent
2024-03-07,3438,Swiggy Order,Food
2024-04-13,2989,Flipkart Order,Shopping
2024-06-22,1126,Netflix Subscription,Entertainment
2024-01-24,2601,Metro Card,Transport
2024-04-23,1277,Misc Expense,Uncategorized
2024-02-01,4499,Swiggy Order,Food
2024-06-23,2930,Flipkart Order,Shopping
2024-03-26,17390,House Rent,Rent
2024-05-30,2511,Water Bill,Utilities
2024-05-06,1104,Misc Expense,Uncategorized
2024-06-03,1114,Electricity Bill,Utilities
2024-05-09,814,Electricity Bill,Utilities
2024-01-17,19419,House Rent,Rent
2024-04-13,4665,Misc Expense,Uncategorized
2024-06-09,1063,Zomato,Food
2024-05-16,18635,House Rent,Rent
2024-02-12,205,Amazon Purchase,Shopping
2024-06-24,4197,Flipkart Order,Shopping
2024-02-08,17137,House Rent,Rent
2024-06-18,1386,Restaurant Bill,Food
2024-01-26,3754,Flipkart Order,Shopping
2024-04-08,15444,House Rent,Rent
2024-02-19,15035,House Rent,Rent
2024-06-01,1898,Metro Card,Transport
2024-05-31,1808,Water Bill,Utilities
2024-01-13,1400,Amazon Purchase,Shopping
2024-02-29,3197,Electricity Bill,Utilities
2024-05-14,2525,Zomato,Food
2024-02-26,17631,House Rent,Rent
2024-02-05,3325,Netflix Subscription,Entertainment
2024-06-21,19145,House Rent,Rent
2024-01-20,3373,Movie Ticket,Entertainment
2024-03-05,3140,Electricity Bill,Utilities
2024-01-08,1684,Uber Ride,Transport
2024-05-23,4868,Movie Ticket,Entertainment
2024-05-21,761,Swiggy Order,Food
2024-04-24,2566,Restaurant Bill,Food
2024-05-22,1646,Flipkart Order,Shopping
2024-04-01,1200,Zomato,Food
2024-04-07,869,Flipkart Order,Shopping
2024-03-06,19358,House Rent,Rent
2024-02-01,1677,Amazon Purchase,Shopping
2024-03-26,4108,Fuel,Transport
2024-02-20,3451,Amazon Purchase,Shopping
2024-06-01,1341,Restaurant Bill,Food
2024-03-03,16190,House Rent,Rent
2024-05-04,4939,Movie Ticket,Entertainment
2024-05-29,172,Flipkart Order,Shopping
2024-02-27,16914,House Rent,Rent
2024-02-27,18046,House Rent,Rent
2024-03-26,3813,Swiggy Order,Food
2024-02-18,3710,Flipkart Order,Shopping
2024-06-28,1835,Flipkart Order,Shopping
2024-06-18,2528,Flipkart Order,Shopping
2024-03-10,2874,Metro Card,Transport
2024-01-15,17661,House Rent,Rent
2024-02-23,1594,Flipkart Order,Shopping
2024-04-10,3983,Metro Card,Transport
2024-01-08,1968,Swiggy Order,Food
2024-02-22,1116,Amazon Purchase,Shopping
2024-02-29,2593,Zomato,Food
2024-04-17,3059,Fuel,Transport
2024-01-05,1779,Restaurant Bill,Food
2024-04-12,19443,House Rent,Rent
2024-01-06,4825,Misc Expense,Uncategorized
2024-04-18,4043,Misc Expense,Uncategorized
2024-04-25,385,Netflix Subscription,Entertainment
2024-04-03,4651,Metro Card,Transport
2024-02-16,1112,Netflix Subscription,Entertainment
2024-04-08,1623,Water Bill,Utilities
2024-02-24,4676,Movie Ticket,Entertainment
2024-06-16,1701,Swiggy Order,Food
2024-02-21,17817,House Rent,Rent
2024-05-23,2596,Misc Expense,Uncategorized
2024-01-13,16725,House Rent,Rent
2024-04-23,4506,Metro Card,Transport
2024-05-03,2290,Zomato,Food
2024-04-15,343,Misc Expense,Uncategorized
2024-06-06,660,Restaurant Bill,Food
2024-05-26,1926,Zomato,Food
2024-05-24,233,Flipkart Order,Shopping
2024-04-29,172,Restaurant Bill,Food
2024-03-03,19225,House Rent,Rent
2024-01-19,4461,Zomato,Food
2024-04-01,4359,Electricity Bill,Utilities
2024-02-27,1233,Amazon Purchase,Shopping
2024-03-30,3046,Water Bill,Utilities
2024-04-26,1148,Misc Expense,Uncategorized
2024-03-02,3064,Flipkart Order,Shopping
2024-01-23,4323,Swiggy Order,Food
2024-05-06,642,Uber Ride,Transport
2024-05-16,3136,Metro Card,Transport
2024-05-19,2819,Zomato,Food
2024-05-08,3301,Zomato,Food
2024-02-27,2053,Amazon Purchase,Shopping
2024-05-01,3950,Metro Card,Transport
2024-01-01,556,Netflix Subscription,Entertainment
2024-02-03,4344,Uber Ride,Transport
2024-04-05,3665,Zomato,Food
2024-05-05,1738,Swiggy Order,Food
2024-04-27,1482,Swiggy Order,Food
2024-02-17,919,Swiggy Order,Food
2024-03-29,3402,Flipkart Order,Shopping
2024-04-26,867,Netflix Subscription,Entertainment
2024-05-08,2239,Restaurant Bill,Food
2024-01-16,1864,Fuel,Transport
2024-03-09,18716,House Rent,Rent
2024-01-22,2393,Zomato,Food
2024-04-02,1000,Netflix Subscription,Entertainment
2024-03-16,2109,Swiggy Order,Food
2024-06-02,2485,Swiggy Order,Food
2024-05-23,3142,Swiggy Order,Food
2024-06-27,17442,House Rent,Rent
2024-03-26,4824,Fuel,Transport
2024-01-29,4819,Metro Card,Transport
2024-03-09,3904,Movie Ticket,Entertainment
2024-02-16,18493,House Rent,Rent
2024-04-03,17444,House Rent,Rent
2024-05-23,3291,Swiggy Order,Food
2024-06-24,15571,House Rent,Rent
2024-03-25,341,Swiggy Order,Food
2024-02-08,814,Swiggy Order,Food
2024-04-09,2347,Fuel,Transport
2024-02-02,4026,Swiggy Order,Food
2024-04-10,2248,Fuel,Transport
2024-01-23,4282,Swiggy Order,Food
2024-01-10,3606,Netflix Subscription,Entertainment
2024-03-09,1768,Swiggy Order,Food
2024-04-09,2050,Metro Card,Transport
2024-02-03,16674,House Rent,Rent
2024-06-28,2646,Misc Expense,Uncategorized
2024-05-17,2589,Restaurant Bill,Food
2024-05-26,2137,Zomato,Food
2024-04-05,1673,Movie Ticket,Entertainment
2024-01-01,1346,Swiggy Order,Food
2024-03-09,2476,Movie Ticket,Entertainment
2024-01-04,17993,House Rent,Rent
2024-01-16,1713,Zomato,Food
2024-01-24,477,Swiggy Order,Food
2024-03-20,469,Fuel,Transport
2024-01-02,18747,House Rent,Rent
2024-05-07,15769,House Rent,Rent
2024-06-08,4083,Amazon Purchase,Shopping
2024-03-24,622,Water Bill,Utilities
2024-05-31,1035,Swiggy Order,Food
2024-05-19,4683,Amazon Purchase,Shopping
2024-06-26,3797,Metro Card,Transport
2024-06-11,2561,Misc Expense,Uncategorized
2024-05-03,3343,Misc Expense,Uncategorized
2024-02-02,2260,Zomato,Food
2024-06-09,1667,Amazon Purchase,Shopping
2024-06-27,15038,House Rent,Rent
2024-06-19,3090,Electricity Bill,Utilities
2024-04-10,18468,House Rent,Rent
2024-01-12,401,Zomato,Food
2024-03-07,4858,Netflix Subscription,Entertainment
2024-03-05,4451,Amazon Purchase,Shopping
2024-06-09,1468,Fuel,Transport
2024-06-16,3968,Misc Expense,Uncategorized
2024-03-14,4408,Movie Ticket,Entertainment
2024-02-12,3778,Netflix Subscription,Entertainment
2024-02-13,4283,Fuel,Transport
2024-01-29,17325,House Rent,Rent
2024-05-20,1476,Uber Ride,Transport
2024-01-12,1753,Fuel,Transport
2024-04-04,1404,Amazon Purchase,Shopping
2024-02-15,461,Netflix Subscription,Entertainment
2024-05-09,1384,Flipkart Order,Shopping
2024-02-04,1955,Water Bill,Utilities
2024-03-21,2620,Electricity Bill,Utilities
2024-03-30,1022,Flipkart Order,Shopping
2024-01-08,2647,Flipkart Order,Shopping
2024-04-02,2749,Metro Card,Transport
2024-06-02,2356,Water Bill,Utilities
2024-03-30,3589,Swiggy Order,Food
2024-06-10,2734,Movie Ticket,Entertainment
2024-04-24,3995,Netflix Subscription,Entertainment
2024-04-14,2279,Metro Card,Transport
2024-05-14,16043,House Rent,Rent
2024-02-27,326,Movie Ticket,Entertainment
2024-04-23,2123,Zomato,Food
2024-03-15,2185,Zomato,Food
2024-06-05,2420,Swiggy Order,Food
2024-04-29,3392,Flipkart Order,Shopping
2024-06-12,4531,Flipkart Order,Shopping
2024-01-21,2683,Zomato,Food
2024-06-12,3359,Flipkart Order,Shopping
2024-05-17,3490,Electricity Bill,Utilities
2024-04-10,763,Zomato,Food
2024-05-31,15541,House Rent,Rent
2024-06-25,3074,Misc Expense,Uncategorized
2024-04-08,531,Electricity Bill,Utilities
2024-02-05,19278,House Rent,Rent
2024-04-05,1269,Netflix Subscription,Entertainment
2024-05-31,16136,House Rent,Rent
2024-05-30,1426,Amazon Purchase,Shopping
2024-02-06,1119,Misc Expense,Uncategorized
2024-01-12,19256,House Rent,Rent
2024-04-22,2110,Fuel,Transport
2024-01-13,2225,Amazon Purchase,Shopping
2024-01-23,4797,Netflix Subscription,Entertainment
2024-04-08,599,Amazon Purchase,Shopping
2024-04-14,17097,House Rent,Rent
2024-01-30,3796,Restaurant Bill,Food
2024-01-17,2857,Flipkart Order,Shopping
2024-04-22,2710,Uber Ride,Transport
2024-03-02,1549,Misc Expense,Uncategorized
2024-03-24,4776,Water Bill,Utilities
2024-04-21,2103,Electricity Bill,Utilities
2024-03-26,803,Water Bill,Utilities
2024-05-20,1725,Metro Card,Transport
2024-01-19,3078,Restaurant Bill,Food
2024-06-25,2759,Uber Ride,Transport
2024-04-09,785,Movie Ticket,Entertainment
2024-05-19,1719,Flipkart Order,Shopping
2024-05-26,1531,Flipkart Order,Shopping
2024-03-16,1465,Zomato,Food
2024-01-09,15162,House Rent,Rent
2024-01-28,15269,House Rent,Rent
2024-05-07,2114,Zomato,Food
2024-02-21,681,Uber Ride,Transport
2024-03-23,1819,Swiggy Order,Food
2024-04-20,2397,Zomato,Food
2024-05-23,789,Amazon Purchase,Shopping
2024-04-26,3241,Fuel,Transport
2024-03-09,771,Water Bill,Utilities
2024-04-08,3826,Flipkart Order,Shopping
2024-05-19,1549,Electricity Bill,Utilities
2024-01-25,4360,Water Bill,Utilities
2024-06-28,3752,Misc Expense,Uncategorized
2024-05-02,2452,Flipkart Order,Shopping
2024-02-22,4579,Uber Ride,Transport
2024-05-30,524,Misc Expense,Uncategorized
2024-05-23,994,Swiggy Order,Food
2024-02-26,15597,House Rent,Rent
2024-02-08,1787,Amazon Purchase,Shopping
2024-04-18,2190,Zomato,Food
2024-02-11,4372,Zomato,Food
2024-06-15,1617,Metro Card,Transport
2024-05-21,3688,Uber Ride,Transport
2024-05-01,3237,Misc Expense,Uncategorized
2024-05-12,4832,Restaurant Bill,Food
2024-06-11,443,Movie Ticket,Entertainment
2024-03-15,4766,Movie Ticket,Entertainment
2024-05-25,1954,Fuel,Transport
2024-03-16,2424,Fuel,Transport
2024-01-09,1191,Restaurant Bill,Food
2024-03-14,2891,Movie Ticket,Entertainment
2024-05-24,2775,Water Bill,Utilities
2024-01-07,3148,Electricity Bill,Utilities
2024-06-22,4642,Flipkart Order,Shopping
2024-05-20,4070,Flipkart Order,Shopping
2024-06-16,1677,Misc Expense,Uncategorized
2024-06-18,1914,Metro Card,Transport
2024-05-16,4502,Water Bill,Utilities
2024-06-26,107,Zomato,Food
2024-01-27,15475,House Rent,Rent
2024-05-01,4754,Netflix Subscription,Entertainment
2024-01-05,4663,Zomato,Food
2024-01-29,2922,Flipkart Order,Shopping
2024-06-13,358,Amazon Purchase,Shopping
2024-06-14,4235,Electricity Bill,Utilities
2024-03-23,712,Uber Ride,Transport
2024-05-15,3790,Movie Ticket,Entertainment
2024-04-18,18013,House Rent,Rent
2024-03-05,2691,Misc Expense,Uncategorized
2024-03-26,4058,Restaurant Bill,Food
2024-05-24,674,Misc Expense,Uncategorized
2024-03-11,3704,Uber Ride,Transport
2024-02-14,1383,Movie Ticket,Entertainment
2024-05-11,1629,Misc Expense,Uncategorized
2024-02-05,3811,Fuel,Transport
2024-03-10,2500,Swiggy Order,Food
2024-06-07,3169,Zomato,Food
2024-01-19,3647,Netflix Subscription,Entertainment
2024-04-17,3657,Water Bill,Utilities
2024-06-15,3090,Fuel,Transport
2024-03-31,2872,Amazon Purchase,Shopping
2024-03-30,16154,House Rent,Rent
2024-01-19,1085,Water Bill,Utilities
2024-02-08,289,Zomato,Food
2024-05-05,1815,Netflix Subscription,Entertainment
2024-06-21,4533,Misc Expense,Uncategorized
2024-05-20,2426,Netflix Subscription,Entertainment
2024-05-05,1774,Flipkart Order,Shopping
2024-02-27,1030,Electricity Bill,Utilities
2024-05-27,1189,Swiggy Order,Food
2024-03-01,17295,House Rent,Rent
2024-05-06,2601,Restaurant Bill,Food
2024-04-14,3930,Water Bill,Utilities
2024-06-15,17238,House Rent,Rent
2024-01-01,15441,House Rent,Rent
2024-05-10,4728,Metro Card,Transport
2024-04-01,1048,Swiggy Order,Food
2024-04-22,559,Flipkart Order,Shopping
2024-06-01,4038,Swiggy Order,Food
2024-02-25,2357,Restaurant Bill,Food
2024-06-09,2554,Flipkart Order,Shopping
2024-06-14,2697,Zomato,Food
2024-04-26,939,Swiggy Order,Food
2024-05-13,4017,Restaurant Bill,Food
2024-02-27,380,Uber Ride,Transport
2024-02-13,4349,Metro Card,Transport
2024-06-21,4857,Misc Expense,Uncategorized
2024-06-08,3046,Electricity Bill,Utilities
2024-06-21,2431,Netflix Subscription,Entertainment
2024-03-01,3889,Restaurant Bill,Food
2024-02-16,4828,Netflix Subscription,Entertainment
2024-05-28,17990,House Rent,Rent
2024-03-20,1560,Metro Card,Transport
2024-04-27,385,Uber Ride,Transport
2024-06-12,3547,Swiggy Order,Food
2024-05-26,19916,House Rent,Rent
2024-01-20,17381,House Rent,Rent
2024-05-25,167,Movie Ticket,Entertainment
